Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
г. Москва;2006;6242.9;99;75.2
Северо-Западный федеральный округ;2006;6785.8;373;146.2
Республика Карелия;2006;343.2;12;12.9
Республика Коми;2006;465.6;65;14.6
Архангельская область;2006;613.5;41;16.1
в том числе: ;2006;0;0;0
Ненецкий автономный округ;2006;29.5;1;0.6
Архангельская область без автономного округа;2006;584;39;15.4
Вологодская область;2006;610.4;36;11.8
Калининградская область;2006;461.8;22;8
Ленинградская область;2006;746.8;54;10
Мурманская область;2006;431.2;33;17.9
Новгородская область;2006;310.5;19;5.1
Псковская область;2006;332.6;27;11.3
г. Санкт-Петербург;2006;2470.2;64;38.5
Южный             федеральный округ;2006;6077.4;563;107.6
Республика Адыгея;2006;153.3;28;10.3
Республика Калмыкия;2006;116.7;25;5.7
Республика Крым;2006;0;0;0
Краснодарский край;2006;2197.7;178;20.1
Астраханская область;2006;449.9;42;14.7
Волгоградская область;2006;1256.2;117;23.7
Ростовская область;2006;1903.6;173;33.1
г. Севастополь;2006;0;0;0
Северо-Кавказский        федеральный округ;2006;2903.6;915;525.5
