Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Алтайский край;2004;2539.4;-33012.2;-19553.38
Красноярский край;2004;2901.9;-29019;-18281.97
Иркутская область;2004;2524.1;-27765.1;-17668.7
Кемеровская область;2004;2833;-28330;-8499
Новосибирская область ;2004;2666;-7998;3999
Омская область;2004;2034.1;-18306.9;-9967.09
Томская область;2004;1029.9;-8239.2;-5046.51
Дальневосточный федеральный округ;2004;8641.4;-86414;-57897.38
Республика Бурятия;2004;971;-3884;-2136.2
Республика Саха (Якутия);2004;953.2;2859.6;-1811.08
Забайкальский край;2004;1132.8;-10195.2;-6117.12
Камчатский край;2004;343.9;-6534.1;-6190.2
Приморский край;2004;2028.4;-20284;-9736.32
Хабаровский край ;2004;1396.8;-19555.2;-12571.2
Амурская область;2004;874;-13984;-9439.2
Магаданская область;2004;173.9;-3999.7;-3738.85
Сахалинская область;2004;529.8;-6887.4;-4397.34
Еврейская автономная область;2004;185.8;-2601.2;-1690.78
Чукотский автономный округ;2004;51.8;-103.6;-279.72
Центральный федеральный округ;2005;38109;76218;384900.9
Белгородская область;2005;1511.7;60.468;10733.07
Брянская область;2005;1327.7;-15932.4;-1991.55
Владимирская область;2005;1486.5;-10405.5;5202.75
Воронежская область;2005;2360.9;-4721.8;20067.65
Ивановская область;2005;1101.8;-14323.4;-110.18
Калужская область;2005;1023.3;-4093.2;6242.13
Костромская область;2005;699.8;-11896.6;-4128.82
Курская область;2005;1177.6;-17664;-4945.92
Липецкая область;2005;1193.9;-4775.6;5491.94
Московская область;2005;6783.8;47486.6;103792.14
Орловская область;2005;822.1;-13153.6;-4685.97
Рязанская область;2005;1188.8;-10699.2;3447.52
Смоленская область;2005;1025.4;-7177.8;6254.94
Тамбовская область;2005;1138.6;-12524.6;113.86
Тверская область;2005;1415.3;-16983.6;2264.48
Тульская область;2005;1615.2;-16152;6137.76
Ярославская область;2005;1312.8;-17066.4;-2756.88
г. Москва;2005;10923.8;196628.4;235954.08
Северо-Западный  федеральный округ;2005;13716.4;-82298.4;37034.28
Республика Карелия;2005;676;-13520;-7774
Республика Коми;2005;963;-19260;-15696.9
Архангельская область;2005;1281.8;-16663.4;-9228.96
Ненецкий автономный округ;2005;41.9;14093;-87.99
Архангельская область без автономного округа;2005;1239.9;-17358.6;-9051.27
Вологодская область;2005;1234.9;-11114.1;-493.96
Калининградская область;2005;936.6;-5619.6;3090.78
Ленинградская область;2005;1685.4;3370.8;24606.84
Мурманская область;2005;839.4;-16788;-14185.86
